ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600967.SH,20241206,7.95,8.01,7.9,7.98,7.9,0.08,1.0127,160131.58,127513.664
600967.SH,20241205,7.84,7.97,7.8,7.9,7.82,0.08,1.023,135842.05,106907.856
600967.SH,20241204,7.87,7.92,7.8,7.82,7.88,-0.06,-0.7614,114223.6,89654.124
600967.SH,20241203,7.89,7.92,7.82,7.88,7.89,-0.01,-0.1267,101529.45,79818.832
600967.SH,20241202,7.82,7.91,7.82,7.89,7.81,0.08,1.0243,137722.6,108383.239
600967.SH,20241129,7.75,7.84,7.71,7.81,7.75,0.06,0.7742,100056.38,77939.363
600967.SH,20241128,7.8,7.83,7.73,7.75,7.79,-0.04,-0.5135,104740.03,81480.31
600967.SH,20241127,7.71,7.8,7.58,7.79,7.73,0.06,0.7762,112361.33,86547.102
600967.SH,20241126,7.77,7.79,7.69,7.73,7.77,-0.04,-0.5148,105485.73,81536.63
600967.SH,20241125,7.81,7.82,7.68,7.77,7.81,-0.04,-0.5122,114193.6,88501.627
600967.SH,20241122,8.04,8.04,7.8,7.81,8.04,-0.23,-2.8607,161633.17,128315.592
600967.SH,20241121,8.05,8.08,7.95,8.04,8.07,-0.03,-0.3717,92916.57,74503.633
600967.SH,20241120,8.0,8.09,7.96,8.07,7.99,0.08,1.0013,112675.5,90591.747
600967.SH,20241119,7.98,8.03,7.89,7.99,7.95,0.04,0.5031,120150.0,95523.91
600967.SH,20241118,7.96,8.09,7.9,7.95,7.93,0.02,0.2522,146894.1,117419.536
600967.SH,20241115,7.98,8.07,7.93,7.93,8.02,-0.09,-1.1222,126526.13,101295.005
600967.SH,20241114,8.18,8.21,8.0,8.02,8.21,-0.19,-2.3143,159888.95,129230.449
600967.SH,20241113,8.22,8.29,8.11,8.21,8.24,-0.03,-0.3641,147204.24,120371.288
600967.SH,20241112,8.42,8.43,8.18,8.24,8.41,-0.17,-2.0214,248008.38,206313.726
600967.SH,20241111,8.35,8.43,8.26,8.41,8.33,0.08,0.9604,287065.17,239927.975
600967.SH,20241108,8.31,8.36,8.21,8.33,8.28,0.05,0.6039,301711.98,250248.818
600967.SH,20241107,8.21,8.3,8.13,8.28,8.29,-0.01,-0.1206,252077.2,207072.571
600967.SH,20241106,8.32,8.37,8.19,8.29,8.3,-0.01,-0.1205,256546.54,212377.137
